Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU,NDX
2004-07-30,1670.8548,627.9664,1576.1838,511.1633,1171.68,711.2,5156.42,307.4776,391.05,1437.4678
2004-08-31,1677.5993,624.7146,1583.7794,532.5474,1194.03,725.15,5565.66,295.5954,409.85,1405.6567
2004-09-30,1695.7587,654.0466,1625.9728,563.3537,1197.27,735.68,5562.34,337.7328,418.25,1450.9338
2004-10-29,1721.6716,666.9083,1681.1462,576.9586,1207.31,748.97,5860.44,355.2492,428.55,1527.0498
2004-11-30,1791.3253,724.6096,1796.6481,630.412,1197.68,758.0,6112.63,342.5017,450.95,1614.9741
2004-12-31,1852.2367,745.9915,1875.6113,663.4101,1208.7,769.3,6409.3,310.4673,438.45,1666.1844
2005-01-31,1807.0862,714.8462,1841.4444,664.0286,1216.29,768.3,5871.11,331.4828,422.6,1562.0022
2005-02-28,1845.1113,726.9387,1921.6707,721.1122,1209.11,779.6,6051.17,355.8531,435.65,1554.4548
2005-03-31,1812.4369,706.0817,1874.5537,673.5815,1202.9,756.93,5957.39,383.6221,428.35,1525.2833
2005-04-29,1778.0681,665.6414,1832.6149,655.6271,1219.18,749.55,6274.28,353.6854,434.4,1461.9983
2005-05-31,1834.6401,709.2068,1835.4894,678.4953,1232.37,762.86,6491.75,354.8881,417.25,1588.557
2005-06-30,1837.248,736.5555,1860.7347,702.2475,1239.09,777.83,6818.11,379.7879,435.5,1538.082
2005-07-29,1905.569,783.2146,1917.9788,751.8717,1227.82,791.43,7304.67,401.999,429.8,1653.2208
2005-08-31,1888.1843,768.6614,1967.395,758.6002,1243.56,792.94,7037.59,465.1507,435.2,1630.3403
2005-09-30,1903.4768,771.0962,2055.6716,829.3221,1230.74,785.03,7079.51,469.5595,469.3,1650.932
2005-10-31,1871.7529,747.1482,1995.707,775.112,1221.0,779.55,6912.01,422.8763,465.19,1627.9145
2005-11-30,1942.5412,783.3261,2045.2578,839.3099,1226.4,783.62,7203.25,415.9086,493.08,1725.2817
2005-12-30,1943.1248,779.6487,2140.6217,891.2354,1238.06,790.35,7188.84,431.7214,517.0,1697.3238
2006-01-31,1994.5872,849.564,2272.1965,989.5744,1238.13,802.96,7714.01,453.9183,568.9,1765.1642
2006-02-28,1999.9796,847.1973,2267.8693,987.8944,1242.24,808.32,7852.02,415.8627,561.55,1725.0151
2006-03-31,2024.8551,888.314,2344.2285,996.9938,1230.05,813.16,8248.59,442.519,583.65,1759.4159
2006-04-28,2052.038,888.1322,2457.7962,1067.8344,1227.82,818.17,7942.04,474.7863,654.43,1756.6283
2006-05-31,1992.9807,838.2467,2365.3556,956.0629,1226.51,818.06,7715.96,474.5546,645.2,1632.8778
2006-06-30,1995.6231,843.6073,2366.4457,954.0525,1229.11,815.19,8117.39,484.6753,615.85,1628.5168
2006-07-31,2007.9394,816.1288,2390.0564,967.8921,1245.73,823.17,8391.19,498.2476,636.75,1560.7517
2006-08-31,2055.7176,840.2673,2456.8241,992.9564,1264.8,836.52,8708.79,465.868,627.3,1634.9732
2006-09-29,2108.6435,847.3358,2461.5587,1001.3485,1275.91,848.38,8869.74,428.0533,598.3,1712.053
2006-10-31,2177.347,896.1193,2557.5163,1049.2384,1284.35,859.92,9425.35,429.2243,606.6,1793.4069
2006-11-30,2218.7546,919.5273,2634.8436,1127.1672,1299.25,874.37,9863.5,463.6554,648.0,1855.4844
2006-12-29,2249.6859,922.5565,2717.7939,1180.9959,1291.71,883.97,9709.31,433.6465,636.7,1820.3057
2007-01-31,2283.7045,937.9887,2736.3751,1167.3245,1291.18,893.84,10526.96,427.2178,653.2,1857.1764
2007-02-28,2239.0473,930.5236,2759.1945,1160.0282,1311.09,906.34,10291.24,448.4914,669.35,1826.9904
2007-03-30,2264.0564,940.4915,2831.4611,1205.9337,1311.13,907.3,10045.6,468.115,663.8,1838.3575
2007-04-30,2364.354,957.4499,2959.7004,1261.701,1318.2,919.09,10043.61,474.4641,678.45,1937.6632
2007-05-31,2446.8344,996.6658,3015.4043,1324.8915,1308.21,925.96,10048.86,470.648,660.5,2001.9511
2007-06-29,2406.1613,982.242,3020.4788,1386.6971,1304.34,909.33,9137.56,489.152,649.65,2008.2231
2007-07-31,2331.5649,914.9666,2976.0374,1460.4495,1315.22,877.13,8424.63,515.941,664.3,2006.3109
2007-08-31,2366.5101,935.6503,2930.7653,1430.0716,1331.34,889.09,8978.24,495.304,673.3,2067.106
2007-09-28,2454.9903,951.7016,3088.4935,1588.2296,1341.44,912.36,9373.8,546.133,743.6,2173.6243
2007-10-31,2494.0404,979.0074,3210.1615,1765.4783,1353.49,917.83,9478.84,599.31,796.8,2327.5251
2007-11-30,2391.7077,908.6731,3105.855,1640.7361,1377.83,897.92,8619.15,577.987,783.55,2173.0144
2007-12-31,2375.0237,907.9509,3036.1944,1649.9529,1381.7,900.54,8185.75,610.169,833.7,2169.1643
2008-01-31,2232.5629,846.0124,2756.0563,1443.1194,1404.91,888.52,8101.79,608.378,926.1,1915.9867
2008-02-29,2160.0274,814.6425,2796.8853,1548.5758,1406.86,876.4,7813.51,679.778,973.9,1817.7225
2008-03-31,2150.6891,818.0271,2769.2725,1466.9813,1411.66,873.38,8300.4,668.913,916.9,1856.3222
2008-04-30,2255.4459,852.2719,2923.0978,1586.1841,1408.71,911.02,8786.74,721.067,877.55,1997.9269
2008-05-30,2284.6594,891.4206,2957.4404,1616.6746,1398.38,914.31,8854.47,786.583,886.5,2119.4438
2008-06-30,2092.0358,822.7941,2716.4181,1455.2001,1397.26,888.75,7891.5,862.809,925.4,1915.7381
2008-07-31,2074.4497,853.2311,2629.4337,1401.2405,1396.11,876.91,8165.42,760.199,914.1,1928.592
2008-08-29,2104.4608,884.0391,2524.0275,1289.8444,1409.36,879.98,8345.81,708.156,831.15,1954.7231
2008-09-30,1916.9211,813.593,2160.193,1064.2424,1390.43,809.78,8329.68,622.237,870.95,1664.7449
2008-10-31,1594.9726,644.2908,1724.3381,773.192,1357.61,680.97,5691.82,449.461,723.85,1393.7376
2008-11-28,1480.5366,568.0657,1632.331,715.075,1401.8,617.55,4379.55,390.646,818.05,1239.7271
2008-12-31,1496.268,600.9508,1730.6634,772.5799,1454.1,665.0,5097.46,349.038,882.05,1267.3148
2009-01-30,1370.1576,534.1016,1561.1412,721.8579,1441.27,704.86,4215.2,336.205,927.85,1234.6896
2009-02-27,1224.265,469.161,1401.8545,680.9006,1435.83,682.99,3337.41,336.24,942.32,1170.4129
