Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
2008-06-30,2092.0358,822.7941,2716.4181,1455.2001,1397.26,888.75,7891.5,862.809,925.4
2008-07-31,2074.4497,853.2311,2629.4337,1401.2405,1396.11,876.91,8165.42,760.199,914.1
2008-08-29,2104.4608,884.0391,2524.0275,1289.8444,1409.36,879.98,8345.81,708.156,831.15
2008-09-30,1916.9211,813.593,2160.193,1064.2424,1390.43,809.78,8329.68,622.237,870.95
2008-10-31,1594.9726,644.2908,1724.3381,773.192,1357.61,680.97,5691.82,449.461,723.85
2008-11-28,1480.5366,568.0657,1632.331,715.075,1401.8,617.55,4379.55,390.646,818.05
2008-12-31,1496.268,600.9508,1730.6634,772.5799,1454.1,665.0,5097.46,349.038,882.05
2009-01-30,1370.1576,534.1016,1561.1412,721.8579,1441.27,704.86,4215.2,336.205,927.85
2009-02-27,1224.265,469.161,1401.8545,680.9006,1435.83,682.99,3337.41,336.24,942.32
2009-03-31,1331.5095,511.0028,1491.8438,779.0519,1455.79,704.77,3472.97,358.526,919.35
2009-04-30,1458.9212,589.9878,1685.3851,908.366,1462.75,790.08,4550.27,365.848,888.2
2009-05-29,1540.4755,607.7698,1887.9283,1064.4877,1473.36,843.24,4648.41,443.053,979.18
2009-06-30,1543.5244,616.6856,1878.0066,1050.4508,1481.74,867.39,4474.92,450.217,926.5
2009-07-31,1660.2627,676.0747,2049.5485,1169.0932,1505.64,920.18,4943.57,457.407,954.0
2009-08-31,1720.1718,695.4604,2161.8159,1165.1403,1521.23,937.34,5605.49,453.787,951.19
2009-09-30,1784.3533,735.511,2245.0573,1271.1409,1537.21,990.72,5963.97,462.748,1007.7
2009-10-30,1751.1877,685.5359,2217.1215,1272.8567,1544.8,1008.5,5695.33,496.808,1045.45
2009-11-30,1856.1558,706.8888,2262.4833,1327.621,1564.8,1018.66,6088.91,512.574,1179.63
2009-12-31,1892.0031,763.7481,2295.4342,1382.2747,1540.34,1052.08,6524.25,524.621,1096.98
2010-01-29,1823.9462,735.6007,2194.4262,1304.554,1563.87,1065.39,6184.3,486.145,1081.2
2010-02-26,1880.4077,768.698,2179.9828,1308.9736,1569.71,1067.25,6514.45,517.484,1117.59
2010-03-31,1993.8848,831.0874,2317.9127,1414.8658,1567.78,1100.71,7177.91,530.159,1113.25
2010-04-30,2025.349,878.119,2277.6292,1432.156,1584.1,1126.51,7676.2,549.941,1179.03
2010-05-31,1863.6295,811.4985,2018.6643,1307.0226,1597.43,1086.03,7250.53,488.193,1216.3
2010-06-30,1766.0587,748.5994,1999.8751,1297.8997,1622.48,1099.55,6886.77,495.177,1242.38
2010-07-30,1889.787,800.0123,2189.5518,1406.6176,1639.8,1138.65,7542.56,524.809,1181.0
2010-08-31,1804.4692,740.7755,2122.3571,1379.5279,1660.89,1139.06,7437.87,499.162,1247.4
2010-09-30,1965.5,833.073,2331.2,1533.0574,1662.66,1173.38,7770.14,546.064,1308.54
2010-10-29,2040.2836,867.1599,2415.5707,1577.7026,1668.58,1203.68,8135.44,564.16,1359.4
2010-11-30,2040.5293,897.2357,2300.3662,1536.1517,1658.99,1189.62,7976.14,575.84,1386.23
2010-12-31,2176.9132,968.5438,2486.9173,1648.2826,1641.1,1211.19,8347.58,631.83,1421.4
2011-01-31,2228.5001,966.0487,2545.8839,1602.8735,1643.01,1237.91,8691.91,655.26,1332.68
2011-02-28,2304.8279,1019.0278,2630.9379,1587.1739,1647.12,1254.13,9090.25,690.85,1411.33
2011-03-31,2305.7577,1045.4378,2573.638,1680.717,1648.03,1258.19,8973.82,725.62,1432.2
2011-04-29,2374.0237,1073.0439,2728.6155,1733.4242,1668.95,1277.69,9432.7,758.79,1563.7
2011-05-31,2347.1437,1052.9255,2651.5599,1688.2552,1690.73,1283.92,9526.95,707.26,1535.73
2011-06-30,2308.016,1028.6498,2619.3709,1663.3144,1685.78,1271.42,9234.38,668.85,1500.18
2011-07-29,2261.0692,991.4683,2578.2415,1656.872,1712.53,1286.16,9331.56,686.08,1627.05
2011-08-31,2138.2249,905.2079,2346.4441,1509.2975,1737.55,1234.68,8809.33,674.69,1825.55
2011-09-30,1987.9155,803.733,2124.3267,1289.4428,1750.19,1194.32,7842.65,591.0,1623.79
2011-10-31,2205.1785,925.3838,2329.1889,1459.5827,1752.07,1265.89,8962.35,647.96,1714.7
2011-11-30,2200.2829,922.0087,2217.1153,1363.1975,1750.55,1238.6,8625.48,658.02,1746.35
2011-12-30,2222.7489,928.0998,2196.4074,1349.0025,1769.79,1271.5,9039.07,644.91,1564.91
2012-01-31,2322.3552,993.6714,2313.9729,1501.3733,1785.33,1310.11,9613.8,660.68,1737.76
2012-02-29,2422.7795,1017.4523,2448.2229,1590.493,1784.92,1341.22,9526.22,703.5,1696.76
2012-03-30,2502.3759,1043.5204,2438.6727,1537.5983,1775.14,1339.35,9987.37,688.71,1668.15
2012-04-30,2486.654,1027.4012,2392.0934,1519.646,1794.82,1353.37,10254.33,684.88,1664.75
2012-05-31,2337.2074,959.4415,2120.598,1350.1219,1811.06,1335.7,9802.04,596.2,1560.51
2012-06-29,2433.5106,1007.3169,2270.1131,1402.9366,1811.77,1363.9,10386.82,599.44,1597.45
2012-07-31,2467.302,993.3971,2296.1382,1431.2728,1836.76,1389.85,10612.21,635.82,1614.58
2012-08-31,2522.8964,1026.5425,2358.7484,1426.9355,1837.96,1406.12,10624.91,675.03,1691.85
2012-09-28,2588.0843,1060.2525,2429.6505,1513.3527,1840.49,1425.69,10493.88,665.73,1772.25
